id,province_id,name,latitude,longitude
8207,82,KAB. PULAU MOROTAI,2.19924,128.40546
8208,82,KAB. PULAU TALIABU,-1.84578,124.78992
8271,82,KOTA TERNATE,0.89618,127.31016
8272,82,KOTA TIDORE KEPULAUAN,0.60962,127.56981
9101,91,KAB. FAK-FAK,-2.92641,132.29608
9102,91,KAB. KAIMANA,-3.66093,133.77451
9103,91,KAB. TELUK WONDAMA,-2.7,134.5
9104,91,KAB. TELUK BINTUNI,-1.88037,133.33105
9105,91,KAB. MANOKWARI,-0.9,133.75
9106,91,KAB. SORONG SELATAN,-1.50495,132.28638
9107,91,KAB. SORONG,-1.16667,131.5
9108,91,KAB. RAJA AMPAT,-0.5,130
9109,91,KAB. TAMBRAUW,-0.60515,132.48962
9110,91,KAB. MAYBRAT,-1.2155,132.35092
9111,91,KAB. MANOKWARI SELATAN,-1.0798,133.96729
9112,91,KAB. PEGUNUNGAN ARFAK,-0.93523,133.89587
9171,91,KOTA SORONG,-0.86507,131.25153
9401,94,KAB. MERAUKE,-7.66667,139.66667
9402,94,KAB. JAYAWIJAYA,-4.08333,139.08333
9403,94,KAB. JAYAPURA,-3,139.95
9404,94,KAB. NABIRE,-3.54016,135.55511
9408,94,KAB. KEPULAUAN YAPEN,-1.78773,136.27716
9409,94,KAB. BIAK NUMFOR,-1.03333,136
9410,94,KAB. PANIAI,-3.9,136.60001
9411,94,KAB. PUNCAK JAYA,-3.67241,137.43896
9412,94,KAB. MIMIKA,-4.54357,136.56555
9413,94,KAB. BOVEN DIGOEL,-5.70519,140.36349
9414,94,KAB. MAPPI,-6.49971,139.34441
9415,94,KAB. ASMAT,-5.3795,138.46344
9416,94,KAB. YAHUKIMO,-4.60403,139.58405
9417,94,KAB. PEGUNUNGAN BINTANG,-4.52167,140.29541
9418,94,KAB. TOLIKARA,-3.42661,137.41699
9419,94,KAB. SARMI,-2.41667,139.08333
9420,94,KAB. KEEROM,-3.3,140.61667
9426,94,KAB. WAROPEN,-2.286,137.01837
9427,94,KAB. SUPIORI,-0.73881,135.61111
9428,94,KAB. MAMBERAMO RAYA,-2.23561,137.78229
9429,94,KAB. NDUGA,-4.45093,138.10089
9430,94,KAB. LANNY JAYA,-3.91244,138.28766
9431,94,KAB. MAMBERAMO TENGAH,-2.46064,138.45245
9432,94,KAB. YALIMO,-3.86037,138.47305
9433,94,KAB. PUNCAK,-4.14204,137.09702
9434,94,KAB. DOGIYAI,-4.03186,135.43945
9435,94,KAB. INTAN JAYA,-3.41016,136.70837
9436,94,KAB. DEIYAI,-3.94737,135.95032
9471,94,KOTA JAYAPURA,-2.64647,140.77779
