Location,Lat,Lon
Java Tengah,-7.00,110.00
Java Timur,-8.00,113.00
Jawa,-7.00,110.00
Jaya,-3.95,137.28
Jayapura,-2.47,140.63
Jayawijaya,-5.00,139.00
Jemaja,3.08,105.75
Jember,-8.18,113.68
Jepara,-36.13,142.02
Jogjakarta/Yogyakarta,-7.82,110.37
Jombang,-7.55,112.23
Jorong,-3.97,114.93
Kabaena,-5.25,122.00
Kabanjahe,3.10,98.50
Kaburuang,3.83,126.50
Kahayan,-3.67,114.00
Kai,-5.92,132.75
Kai Besar,-5.58,133.00
Kai Is./Kai,-5.92,132.75
Kai Kecil,-5.75,132.67
Kaimana,-3.65,133.75
Kaironi,-0.78,133.67
Kalabahi,-8.22,124.52
Kalao,-7.35,121.00
Kalaotoa,-7.33,121.83
Kalianda,-5.83,105.75
Kalimantan,-5.00,114.00
Kalimantan Barat,-3.00,110.50
Kalimantan Selatan,-2.50,115.50
Kalimantan Tengah,-2.00,113.50
Kalimantan Timur,1.50,116.50
Kampar,0.50,103.13
Kampungbaruramo,-2.00,137.83
Mamuju,-2.68,118.83
Manado,1.48,124.85
Mandala Puncak,-4.73,140.33
Mandar,-3.58,119.25
Mandioli,-0.67,127.33
Manggar,-2.83,108.17
Manggawitu,-4.13,133.53
Mangkalihat Tanjung,1.03,118.98
Mangole,-1.83,125.92
Manna,-4.42,102.92
Manokwari,-0.90,134.00
Manui,-3.58,123.08
Maoke,-3.67,137.50
Mapia,0.83,134.33
Maratua,2.17,118.58
Martapura,-3.37,114.78
Martapura Sumatera,-4.27,104.37
MasaleMbo Kepulauan,-5.58,114.50
Masalima Kepulauan,-5.07,117.08
Masamba,-2.50,120.25
Masela,-8.15,129.85
Mashoi/Amahai,-3.33,128.92
Matak,3.30,106.27
Mataram,-8.58,116.12
Mayu,1.50,126.50
Mayu,1.50,126.50
Medan,3.67,98.63
Mekongga,-3.65,121.25
Melolo,-9.88,120.67
Memboro,-9.50,119.50
Mempawah,0.50,109.08
Mendawai,-3.50,113.00
Menggala,-4.50,1054.25
Mentawai,-2.00,99.00
Merak,6.17,106.43
Merauke,-8.48,140.40
Meulaboh,4.18,96.05
Meureudu,5.32,96.17
Midai,0.00,150.00
Mindiptana,-5.92,140.37
Misool,-1.87,130.17
Mao,-8.00,128.00
Mojokerto,-7.47,112.43
Molu,-6.75,131.67
Moluccs Sea,-6.75,125.00
Molucca Sea,-0.56,125.13
Moluccas/Maluku,-1.00,127.00
Mondego,-3.57,122.15
Monse,-4.12,123.25
Morotai,2.17,128.50
Moutong,0.47,121.22
Moya,-8.17,117.67
Muarabungo,-1.47,102.87
Muaraenim,-3.67,103.83
Muarajuloi,-0.20,114.05
Murakaman,-0.03,116.75
Muaratebo,-1.50,102.43
Muaratembesi,-1.70,103.13
Muaratewe,-0.97,114.87
Mubur Pulau,3.33,106.20
Mukomuko,-2.50,101.17
Muller Pegunungan,0.50,113.50
Muna,-5.00,122.50
Muntok,-2.08,105.17
Muria,-6.60,110.88
Musi,-2.33,104.93
Muting,-7.38,140.33
Nabire,-3.25,135.43
Namber,-1.03,134.82
Namlea,-3.30,127.08
Namrole,-3.77,126.77
Nangapinoh,-0.33,111.73
Nangatayap,-1.53,110.57
Nanusa Kepulauan,4.75,127.02
Natal,0.58,99.12
Natuna Besar,4.00,108.25
Natuna Is./Natuna Besar,4.00,108.25
Natuna Selatan,2.75,109.00
Ngabang,0.38,109.92
Ngabordamlu Tanjung,-6.93,134.18
Ngawi,-7.40,111.43
Nias,1.00,97.50
Nikiniki,-9.82,124.50
Nila,-6.73,138.52
Niut,0.92,110.10
North Pagai I.,-2.58,100.00
Nuboai,-2.17,136.50
Numfoor,-1.00,134.83
Nusa Barung,-8.50,113.50
Nusa Kambangan,-7.67,108.17
Nusa Tenggara Barat,-8.83,117.50
Nusa Tenggara Timur,-9.50,122.00
Obi,-1.38,127.75
Obilatu,-1.42,127.33
Okaba,-8.10,139.70
Oksibil,-4.98,140.58
Ombai,-8.50,124.83
Onang,-3.03,118.82
Pacitan,-8.20,111.12
Padaido Kepulauan,-1.25,136.50
Padang,-1.00,100.33
Padangpanjang,-0.67,100.33
Padangsidempuan,1.50,99.25
Pagai Selatan Pulau,-3.00,100.25
Pagai Utara Pulau,-2.58,100.00
Pagatan,-3.55,115.98
Painan,-1.35,100.57
Palangkaraya,-2.27,113.93
Paleleh,1.17,121.83
Palembang,-3.00,104.83
Palopo,-3.00,12.27
Pamanukan,-6.27,107.82
Pampanua,-4.27,120.13
Panaitan,-6.60,105.20
Pandegelang,-6.42,106.08
Pangkah Tanjung,-6.85,112.55
Pangkajene,-4.77,119.57
Pangkalanbrandan,4.02,98.33
Pangkalanbuun,-2.68,111.62
Pangkalpinang,-2.00,106.00
Pantar,-8.47,124.17
Parado,-8.70,118.50
Pare,-7.72,112.20
Parepare,-4.00,119.67
Parigi,-0.83,120.08
Pasirian,-8.22,113.13
Pasirkuning,-0.50,104.55
Pasuruan,-7.67,112.73
Patani,-0.33,128.83
Pati,-6.75,111.02
Pekalongan,-6.88,109.67
Pekanbaru,0.50,101.25
Pelabuhan Ratu Teluk,-7.08,106.50
Pelabuhanratu,-7.00,106.53
Pelaihari,-3.92,114.75
Peleng,-1.33,123.50
Pemalang,-6.88,109.38
Pematangsiantar,2.95,99.08
Pengalengan,-7.15,107.50
Penida Nusa,-8.75,115.50
Prabumulih,-3.45,104.25
Peureulak,4.80,97.75
Pini,0.17,98.67
Pinrang,-3.77,119.68
Pirimapun,-6.33,138.40
Piru,-3.07,128.20
Pising,-5.13,121.88
Poh,-0.77,122.85
Ponorogo,-7.87,111.45
Pontianak,-0.05,109.25
Poso,-1.33,120.92
Prapat,2.68,98.97
Praya,-8.65,116.28
Probolinggo,-7.77,113.22
Pulau,-5.83,138.25
Purukcahu,-0.58,114.58
Purwakarta,-6.58,107.48
Purwodadi,-7.12,110.92
Purwokerto,-7.42,109.23
Putting Tanjung,-3.52,111.77
Putussibau,0.83,112.93
Raba,-8.60,118.92
Raha,-4.92,123.00
Raijua,-10.62,121.60
Raja Ujung,3.67,96.42
Raja Ampat Kep.,-0.50,130.00
Rakata Pulau,-6.17,105.33
Rambipuji,-8.20,113.62
Rangkasbitung,-6.35,106.28
Ransiki,-1.50,134.17
Rantauprapat,2.25,99.83
Rantemario,-3.25,119.95
Rebi,-6.38,134.12
Rembang,-6.70,111.35
Rengat,-0.50,102.75
Riau,0.50,104.33
Riau Arch./Riau,0.50,104.33
Rokan,2.00,100.83
Romang,-7.50,127.33
Roti,-10.83,123.00
Ruteng,-8.58,120.50
Sabalana Kepulauan,-6.75,118.83
Sabang,5.83,95.25
Sailolof,-1.25,130.77
Salatiga,-7.32,110.50
Salawati,-1.12,130.87
Salayar,-6.12,120.50
Samarinda,-0.50,117.15
Sambar,-2.98,110.32
Sambas,1.33,109.33
Sampang,-7.18,113.22
Sampit,-2.57,113.00
Sampit,-3.08,113.05
Sanana,-2.07,125.97
Sanana,-2.07,125.97
Sangihe Kepulauan,3.00,125.50
Sangihe Pulau,3.58,125.50
Sangkapura,-5.87,112.67
Saonek,-0.37,130.92
Saparua,-3.55,128.67
Saran Gunung,-0.50,111.42
Sarmi,-1.82,138.73
Sarolangun,-2.32,102.70
Satui,3.83,115.45
Saumlaki,-7.92,131.33
Sawahlunto,-0.67,100.87
Sawu Sea,-9.50,121.83
Sebuku,-3.50,116.42
Seget,-1.40,1300.97
Sekayu,-2.85,103.85
Selaru,-8.15,131.00
Seletan Tanjung,-4.17,114.67
Selpele,-0.02,130.08
Selu,-7.53,130.92
Semarang,-7.00,110.43
Semeru,-8.07,112.92
Semuda,-2.85,112.97
Sentani,-2.60,140.62
Sera,2.68,108.58
Serang,-6.13,106.17
Seribu,-5.60,106.55
Sermata,-8.25,128.83
Serui,-6.30,130.02
Sesepe,-1.50,127.98
Sewer,-5.88,134.67
Sigli,5.42,96.00
Simeulue,2.75,95.75
Sinabang,2.50,96.40
Singaraja,-8.12,115.10
Sengkang,-4.13,120.02
Singkep,1.00,108.95
Sinjai,-5.12,120.33
Sintang,0.08,111.58
Slamet,-7.27,109.13
Solor,-8.45,123.00
Sopi,2.57,128.47
Soroako,-2.52,121.34
Sorong,-0.92,131.25
Supiori,-1.00,136.00
Surabaya,-7.28,112.75
Tahuna,3.63,125.50
Tambuku,-7.13,113.67
Tanahgrogot,-1.92,116.25
Tanahmerah,-6.08,140.27
Tanimbar,-7.50,131.50
Tanjung Karang,-5.41,105.26
Tanjungpandan,-2.72,107.63
Taritatu,-2.90,138.45
Tarutung,2.00,98.90
Tegal,-6.87,109.13
Teluk Betung,-5.33,105.17
Tembagapura,-4.33,137.00
Teminabuan,-1.43,132.02
Tengah,-1.50,121.00
Tenggara,-3.83,122.00
Tenggarong,-0.40,116.97
Tepa,-7.87,129.52
Teun,-6.98,129.13
Tidore,0.67,127.42
Tifu,-3.65,126.40
Tilamuta,0.53,122.38
Toba Danau,2.50,97.50
Tobelo,1.75,127.93
Toboli,-0.63,120.08
Togian Kepulauan,-0.33,121.83
Tojo,-1.33,121.25
Tokala,-1.50,121.67
Tolitoli,1.08,120.83
Tolo Teluk,-2.33,122.17
Tondano,1.58,124.90
Trenggalek,-8.05,111.72
Tual,-5.63,132.73
Tuban,-6.90,112.05
Ujung Pandang,-5.14,119.46
Umera,-0.20,129.62
Van Rees Pegunungan,-2.58,138.25
Wakre,-0.32,131.08
Wamena,-4.07,138.95
Wamulan,-3.45,126.12
Wangal,-6.13,134.15
Wangiwangi,-5.37,123.62
Wariap,-1.50,134.08
Warkopi,-51.20,134.15
Warsa,-0.78,135.92
Waru,-3.50,130.60
Wasian,-1.78,133.32
Wasior,-2.72,134.50
Watampone,-4.48,120.42
Wates,7.85,110.17
Satuata/Batuata,-6.20,122.70
Watubela ,-4.47,131.58
We.,5.85,95.30
Weda,0.35,1127.83
Weda Teluk,0.33,128.00
Wendsi,-2.50,134.28
Wenut,-3.18,133.32
Weri,-3.17,132.63
Wesiri,-7.50,126.50
Wetar,-7.80,126.50
Wlingi,-8.08,112.42
Wokam,-5.75,134.47
Wonosari,-7.97,110.60
Wonosobo,-7.37,109.90
Wosi,-0.25,128.00
Wowoni,-4.08,123.08
Wowoni,-4.08,123.08
Yamdena,7.75,131.33
Yapen,-1.83,136.17
Yogyakarta,-7.82,110.37
